fornecedor_id_limpo,degree,strength,reach,system_share,pct_degree_global,pct_strength_global
00000000000191,12,772575.79,0.0072158749248346366,0.0002198446566902258,0.9769383282896796,0.9379108838568299
00000000037788,3,5250.0,0.0018039687312086591,1.4939433290081291e-06,0.9247626004382761,0.23150370447667745
00000000045888,4,15000.0,0.0024052916416115455,4.268409511451798e-06,0.9454763643952833,0.38385682980277575
00000000049603,10,74500.0,0.006013229104028864,2.1199767240210595e-05,0.9742773661692581,0.6807367212772618
00000000051349,2,5380.0,0.0012026458208057728,1.5309362114407114e-06,0.864499634769905,0.23458207241991025
00000000051500,1,2000.0,0.0006013229104028864,5.69121268193573e-07,0.4095272879056663,0.12981321089429199
00000000052906,1,250.0,0.0006013229104028864,7.114015852419663e-08,0.4095272879056663,0.02441824063445685
00000000065994,1,2500.0,0.0006013229104028864,7.114015852419663e-07,0.4095272879056663,0.15052697485129918
00000000141330,1,5000.0,0.0006013229104028864,1.4228031704839326e-06,0.4095272879056663,0.22597307732442867
00000000159204,1,16617.6,0.0006013229104028864,4.7287147931667595e-06,0.4095272879056663,0.40029218407596784
00000000178845,7,65800.0,0.004209260372820205,1.8724089723568553e-05,0.9655640196180737,0.6621099864343107
00000000203700,1,115.0,0.0006013229104028864,3.272447292113045e-08,0.4095272879056663,0.010696024209537722
00000000735981,1,15000.0,0.0006013229104028864,4.268409511451798e-06,0.4095272879056663,0.38385682980277575
00000118295160,1,41000.0,0.0006013229104028864,1.1666985997968248e-05,0.4095272879056663,0.5674632161118648
00003228000135,1,9737.24,0.0006013229104028864,2.7708351887525934e-06,0.4095272879056663,0.3155588020452885
00011080000180,1,9945.0,0.0006013229104028864,2.829955506092542e-06,0.4095272879056663,0.31795888552645307
00019761000195,1,350.0,0.0006013229104028864,9.959622193387529e-08,0.4095272879056663,0.03260982990712721
00028682000140,2,438469.66000000003,0.0012026458208057728,0.0001247712044818024,0.864499634769905,0.901596577272253
00028986014672,1,10250000.0,0.0006013229104028864,0.002916746499492062,0.4095272879056663,0.9949911301262653
00067750000180,1,265873.0,0.0006013229104028864,7.565698946921492e-05,0.4095272879056663,0.8542210163831786
00071556000179,1,1100.0,0.0006013229104028864,3.1301669750646516e-07,0.4095272879056663,0.0828550558280288
00085822000112,2,73924.5,0.0012026458208057728,2.1036002595287896e-05,0.864499634769905,0.6797453824480851
00088925000136,1,120000.0,0.0006013229104028864,3.4147276091614384e-05,0.4095272879056663,0.7518000626108734
00108786000165,1,17000.0,0.0006013229104028864,4.837530779645371e-06,0.4095272879056663,0.40483147239904
00126365000167,1,24740.0,0.0006013229104028864,7.040030087554498e-06,0.4095272879056663,0.4701033079411458
00126381000230,1,264000.0,0.0006013229104028864,7.512400740155164e-05,0.4095272879056663,0.8532296775540019
00126381000311,1,300000.0,0.0006013229104028864,8.536819022903596e-05,0.4095272879056663,0.8698215590107482
00132777000100,1,2722.0,0.0006013229104028864,7.745740460114529e-07,0.4095272879056663,0.15913596994678075
00136858000188,1,4164014.54,0.0006013229104028864,0.0011849146178906388,0.4095272879056663,0.9860169049358238
00137950000162,3,71611.0,0.0018039687312086591,2.037767156830498e-05,0.9247626004382761,0.67546697276427
00140074000123,1,4950.0,0.0006013229104028864,1.4085751387790933e-06,0.4095272879056663,0.2233642909318585
00144263000174,1,1599.99,0.0006013229104028864,4.552941689485175e-07,0.4095272879056663,0.11113430032348952
00147109000156,1,126.0,0.0006013229104028864,3.5854639896195103e-08,0.4095272879056663,0.012156944589377022
00147794000110,1,152100.0,0.0006013229104028864,4.328167244612123e-05,0.4095272879056663,0.7846185954294063
00159049000191,1,557.0,0.0006013229104028864,1.585002731919101e-07,0.4095272879056663,0.04852342690180528
00165960000101,4,80950.0,0.0024052916416115455,2.303518333013487e-05,0.9454763643952833,0.6911196911196911
00170488000103,1,5800.0,0.0006013229104028864,1.6504516777613618e-06,0.4095272879056663,0.24433893352812272
00171258000150,1,43827.25,0.0006013229104028864,1.2471510050718386e-05,0.4095272879056663,0.5810289053532297
00173508000191,1,20000.0,0.0006013229104028864,5.69121268193573e-06,0.4095272879056663,0.43274548679954083
00174282000143,1,7514.5,0.0006013229104028864,2.1383308849203023e-06,0.4095272879056663,0.27747052071376394
00181365000160,1,6800.0,0.0006013229104028864,1.935012311858148e-06,0.4095272879056663,0.26458311593446726
00187413000127,1,16200.0,0.0006013229104028864,4.6098822723679415e-06,0.4095272879056663,0.39716164040488366
00191334000190,1,48000.0,0.0006013229104028864,1.3658910436645753e-05,0.4095272879056663,0.5980381926327872
00202055000265,1,42760.0,0.0006013229104028864,1.2167812713978591e-05,0.4095272879056663,0.5766461442137117
00206665000156,1,416750.0,0.0006013229104028864,0.00011859064425983578,0.4095272879056663,0.8972138161327351
00215595000100,1,1106.0,0.0006013229104028864,3.1472406131104587e-07,0.4095272879056663,0.08316811019513722
00236720000150,1,148520.0,0.0006013229104028864,4.226294537605473e-05,0.4095272879056663,0.7811749973912137
00245916000101,1,550.0,0.0006013229104028864,1.5650834875323258e-07,0.4095272879056663,0.04779296671188563
00250388000189,2,244849.98,0.0012026458208057728,6.96746655673855e-05,0.864499634769905,0.8449337368256287
00256241000104,1,3800.0,0.0006013229104028864,1.0813304095677889e-06,0.4095272879056663,0.19190232703746218
00258103000237,1,27450.0,0.0006013229104028864,7.81118940595679e-06,0.4095272879056663,0.4870082437650005
00258563000184,1,9064.0,0.0006013229104028864,2.579257587453273e-06,0.4095272879056663,0.30439319628508815
00263900000121,1,0.2,0.0006013229104028864,5.6912126819357306e-11,0.4095272879056663,0.0008348116456224564
00264554000104,1,495000.0,0.0006013229104028864,0.00014085751387790934,0.4095272879056663,0.9101533966398831
00274187000111,1,454930.39,0.0006013229104028864,0.0001294552802482984,0.4095272879056663,0.9046227694876343
00276970000114,1,195.0,0.0006013229104028864,5.548932364887337e-08,0.4095272879056663,0.01836585620369404
00282611000170,1,51154.0,0.0006013229104028864,1.4556414676587018e-05,0.4095272879056663,0.6117082333298549
00285549000170,1,61666.0,0.0006013229104028864,1.7547716062212437e-05,0.4095272879056663,0.6517791923197329
00287365000149,1,49139.0,0.0006013229104028864,1.3983024998881993e-05,0.4095272879056663,0.6038818741521444
00295030000172,1,2600.0,0.0006013229104028864,7.39857648651645e-07,0.4095272879056663,0.15475320880726287
00295234000103,1,468.42,0.0006013229104028864,1.3329389222361676e-07,0.4095272879056663,0.04132317645831159
00302007000168,1,15485.55,0.0006013229104028864,4.406577927337492e-06,0.4095272879056663,0.38975268704998434
00304559000105,1,1044.0,0.0006013229104028864,2.9708130199704515e-07,0.4095272879056663,0.07935928206198477
00331788000623,1,131976.0,0.0006013229104028864,3.75551742455575e-05,0.4095272879056663,0.7656266304914954
00331788002324,1,20000.0,0.0006013229104028864,5.69121268193573e-06,0.4095272879056663,0.43274548679954083
00331788002758,1,85584.0,0.0006013229104028864,2.4353837308539376e-05,0.4095272879056663,0.7001982677658354
00331788002910,1,5877.66,0.0006013229104028864,1.6725506566053181e-06,0.4095272879056663,0.2452259209015966
00331788003134,1,154494.0,0.0006013229104028864,4.396291060414894e-05,0.4095272879056663,0.7858708128978399
00333992000179,1,13400.0,0.0006013229104028864,3.8131124968969393e-06,0.4095272879056663,0.3656475007826359
00352294000110,1,59982.7,0.0006013229104028864,1.7068715146837314e-05,0.4095272879056663,0.6410309923823437
00358519000146,1,14437.4,0.0006013229104028864,4.1083156987089455e-06,0.4095272879056663,0.3772305123656475
00360305000104,21,2476866.44,0.012627781118460614,0.0007048186847394502,0.9847125117395388,0.977251382656788
00360305033703,1,2200.0,0.0006013229104028864,6.260333950129303e-07,0.4095272879056663,0.13800480016696232
00360305087129,1,25000.0,0.0006013229104028864,7.114015852419663e-06,0.4095272879056663,0.47276427006156735
00360305094680,2,2120.0299999999997,0.0012026458208057728,6.032770811042102e-07,0.864499634769905,0.1345090264009183
00360305124008,1,15000.0,0.0006013229104028864,4.268409511451798e-06,0.4095272879056663,0.38385682980277575
00360305125152,6,28500.0,0.0036079374624173183,8.109978071758416e-06,0.9612856099342586,0.49368673692998016
00360305129816,5,10200.0,0.003006614552014432,2.9025184677872226e-06,0.9552332255034958,0.32677658353334027
00360305437472,5,22250.0,0.003006614552014432,6.3314741086535e-06,0.9552332255034958,0.4529896692058854
00367185000177,2,36050.0,0.0012026458208057728,1.0258410859189155e-05,0.864499634769905,0.5457059375978295
00374407000189,1,50000.0,0.0006013229104028864,1.4228031704839326e-05,0.4095272879056663,0.6074819993738912
00377455000120,4,149928.0,0.0024052916416115455,4.266360674886301e-05,0.9454763643952833,0.7821141604925389
00384114000182,1,332500.0,0.0006013229104028864,9.461641083718151e-05,0.4095272879056663,0.8786392570176353
00417857000101,1,264000.0,0.0006013229104028864,7.512400740155164e-05,0.4095272879056663,0.8532296775540019
